Const,Created,Description,Title,Original Title,URL,Title Type,Genres,Your Rating,Date Rated,Formato
tt9427166,2020-11-27,,Padre no hay más que uno,Padre no hay más que uno,https://www.imdb.com/title/tt9427166/,Película,"Comedia, Familiar",6,2020-02-01,br
tt11506284,2020-11-27,,Padre no hay más que uno 2: La llegada de la suegra,Padre no hay más que uno 2: La llegada de la suegra,https://www.imdb.com/title/tt11506284/,Película,"Comedia, Familiar",6,2020-12-14,br
tt0246578,2020-11-27,,Donnie Darko,Donnie Darko,https://www.imdb.com/title/tt0246578/,Película,"Drama, Misterio, Ciencia ficción, Suspense",8,2018-04-26,br
tt6105098,2020-11-27,,El rey león,The Lion King,https://www.imdb.com/title/tt6105098/,Película,"Animación, Aventura, Drama, Familiar, Musical",9,2019-10-13,br
tt3794354,2020-11-27,,Sonic: La película,Sonic the Hedgehog,https://www.imdb.com/title/tt3794354/,Película,"Acción, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción",8,2020-03-13,br
tt2333784,2020-11-27,,Los mercenarios 3,The Expendables 3,https://www.imdb.com/title/tt2333784/,Película,"Acción, Aventura, Comedia, Crimen, Suspense",7,2014-10-27,br
tt1560220,2020-11-27,,Zombieland: Mata y remata,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,Película,"Acción, Comedia, Terror",7,2020-01-17,br
tt0162222,2020-11-27,,Náufrago,Cast Away,https://www.imdb.com/title/tt0162222/,Película,"Aventura, Drama, Romance",9,2017-04-10,br
tt0120382,2020-11-27,,El show de Truman,The Truman Show,https://www.imdb.com/title/tt0120382/,Película,"Comedia, Drama",8,2013-04-07,br
tt0119528,2020-11-27,,Mentiroso compulsivo,Liar Liar,https://www.imdb.com/title/tt0119528/,Película,"Comedia, Fantasía",7,2020-05-06,br
tt1323594,2021-03-06,,Gru: Mi villano favorito,Despicable Me,https://www.imdb.com/title/tt1323594/,Película,"Animación, Aventura, Comedia, Crimen, Familiar, Ciencia ficción",8,2021-05-15,br
tt1690953,2021-03-06,,Gru 2: Mi villano favorito,Despicable Me 2,https://www.imdb.com/title/tt1690953/,Película,"Animación, Aventura, Comedia, Crimen, Familiar, Ciencia ficción",7,2018-11-08,br
tt2293640,2021-03-06,,Los minions,Minions,https://www.imdb.com/title/tt2293640/,Película,"Animación, Aventura, Comedia, Crimen, Familiar, Ciencia ficción",6,2015-11-11,br
tt2096673,2021-03-06,,Del revés (Inside Out),Inside Out,https://www.imdb.com/title/tt2096673/,Película,"Animación, Aventura, Comedia, Drama, Familiar, Fantasía",7,2021-03-06,br
tt0078788,2021-03-06,,Apocalypse Now,Apocalypse Now,https://www.imdb.com/title/tt0078788/,Película,"Drama, Misterio, Bélico",8,2021-04-17,br
tt0093058,2021-03-06,,La chaqueta metálica,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,Película,"Drama, Bélico",7,2022-02-14,br
tt1210042,2021-04-03,,Los amos de Brooklyn,Brooklyn's Finest,https://www.imdb.com/title/tt1210042/,Película,"Crimen, Drama, Suspense",8,2021-04-17,br
tt0432021,2021-04-03,,Resident Evil: Extinción,Resident Evil: Extinction,https://www.imdb.com/title/tt0432021/,Película,"Acción, Terror, Ciencia ficción",7,2021-04-04,br
tt0433362,2021-04-03,,Daybreakers,Daybreakers,https://www.imdb.com/title/tt0433362/,Película,"Acción, Terror, Ciencia ficción, Suspense",6,2021-04-28,br
tt1220634,2021-04-03,,Resident Evil: Ultratumba,Resident Evil: Afterlife,https://www.imdb.com/title/tt1220634/,Película,"Acción, Terror, Ciencia ficción",6,2021-04-06,br
tt0117705,2021-04-15,,Space Jam,Space Jam,https://www.imdb.com/title/tt0117705/,Película,"Animación, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción, Deporte",7,2021-11-28,br
tt0099785,2021-04-15,,Solo en casa,Home Alone,https://www.imdb.com/title/tt0099785/,Película,"Comedia, Familiar",8,2021-05-01,br
tt1772341,2021-04-15,,¡Rompe Ralph!,Wreck-It Ralph,https://www.imdb.com/title/tt1772341/,Película,"Animación, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción, Deporte",8,2013-02-19,br
tt5848272,2021-04-15,,Ralph rompe Internet,Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/,Película,"Animación, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción, Deporte",7,2021-04-15,br
tt1798684,2021-05-17,,Redención (Southpaw),Southpaw,https://www.imdb.com/title/tt1798684/,Película,"Acción, Drama, Deporte",8,2017-05-23,br
tt2543164,2021-05-17,,La llegada (Arrival),Arrival,https://www.imdb.com/title/tt2543164/,Película,"Drama, Misterio, Ciencia ficción",8,2021-05-14,br
tt1675434,2021-05-17,,Intocable,Intouchables,https://www.imdb.com/title/tt1675434/,Película,"Comedia, Drama",9,2021-05-28,br
tt4172430,2021-05-17,,13 horas: Los soldados secretos de Bengasi,13 Hours: The Secret Soldiers of Benghazi,https://www.imdb.com/title/tt4172430/,Película,"Acción, Drama, Historia, Suspense, Bélico",8,2020-06-13,br
tt0119174,2021-08-10,,The Game,The Game,https://www.imdb.com/title/tt0119174/,Película,"Drama, Misterio, Suspense",8,2013-07-02,br
tt2302755,2021-08-12,,Objetivo: La Casa Blanca,Olympus Has Fallen,https://www.imdb.com/title/tt2302755/,Película,"Acción, Suspense",7,2021-08-25,br
tt3300542,2021-08-12,,Objetivo: Londres,London Has Fallen,https://www.imdb.com/title/tt3300542/,Película,"Acción, Suspense",,,br
tt0119116,2021-08-12,,El quinto elemento,The Fifth Element,https://www.imdb.com/title/tt0119116/,Película,"Acción, Aventura, Ciencia ficción",7,2020-05-28,br
tt1245526,2021-08-12,,RED,RED,https://www.imdb.com/title/tt1245526/,Película,"Acción, Comedia, Crimen, Suspense",7,2021-08-24,br
tt1821694,2021-08-12,,RED 2,RED 2,https://www.imdb.com/title/tt1821694/,Película,"Acción, Comedia, Crimen, Suspense",7,2022-09-04,br
tt0058461,2021-08-31,,Por un puñado de dólares,Per un pugno di dollari,https://www.imdb.com/title/tt0058461/,Película,"Drama, Del oeste",7,2021-09-29,br
tt0059578,2021-08-31,,La muerte tenía un precio,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,Película,"Drama, Del oeste",7,2021-09-29,br
tt0060196,2021-08-31,,"El bueno, el feo y el malo","Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,Película,"Aventura, Drama, Del oeste",,,br
tt0119822,2021-08-31,,Mejor... imposible,As Good as It Gets,https://www.imdb.com/title/tt0119822/,Película,"Comedia, Drama, Romance",8,2021-09-02,br
tt1663202,2021-09-05,,El renacido (The Revenant),The Revenant,https://www.imdb.com/title/tt1663202/,Película,"Aventura, Drama, Del oeste",8,2022-01-21,br
tt0375679,2021-12-08,,Crash (Colisión),Crash,https://www.imdb.com/title/tt0375679/,Película,"Crimen, Drama, Suspense",9,2013-12-28,br
tt5433138,2022-01-25,,Fast & Furious 9,F9,https://www.imdb.com/title/tt5433138/,Película,"Acción, Crimen, Suspense",7,2021-08-10,br
tt0093773,2022-01-25,,Depredador,Predator,https://www.imdb.com/title/tt0093773/,Película,"Acción, Aventura, Terror, Ciencia ficción",8,2022-01-26,br
tt0100403,2022-01-25,,Depredador 2,Predator 2,https://www.imdb.com/title/tt0100403/,Película,"Acción, Terror, Ciencia ficción",6,2022-01-26,br
tt1424381,2022-01-25,,Predators,Predators,https://www.imdb.com/title/tt1424381/,Película,"Acción, Aventura, Ciencia ficción, Suspense",6,2017-05-12,br
tt3829266,2022-01-25,,Predator,The Predator,https://www.imdb.com/title/tt3829266/,Película,"Acción, Aventura, Ciencia ficción, Suspense",7,2018-11-28,br
tt0995832,2022-03-11,,Generation Kill,Generation Kill,https://www.imdb.com/title/tt0995832/,MiniSerie,"Drama, Bélico",8,2022-09-04,br
tt1121931,2022-04-09,,Crank: Alto voltaje,Crank: High Voltage,https://www.imdb.com/title/tt1121931/,Película,"Acción, Suspense",7,2022-04-09,br
tt0109040,2022-05-20,,Ace Ventura: Un detective diferente,Ace Ventura: Pet Detective,https://www.imdb.com/title/tt0109040/,Película,Comedia,8,2013-01-09,br
tt0112281,2022-05-20,,Ace Ventura: Operación África,Ace Ventura: When Nature Calls,https://www.imdb.com/title/tt0112281/,Película,"Aventura, Comedia, Crimen",8,2020-11-16,br
tt0113277,2022-06-27,,Heat,Heat,https://www.imdb.com/title/tt0113277/,Película,"Acción, Crimen, Drama",8,2022-09-04,br
tt6468322,2022-08-18,,La casa de papel,La casa de papel,https://www.imdb.com/title/tt6468322/,Serie,"Acción, Crimen, Drama, Misterio, Suspense",7,2025-02-13,br
tt1442449,2022-08-18,,Spartacus,Spartacus,https://www.imdb.com/title/tt1442449/,Serie,"Acción, Aventura, Biografía, Drama, Romance",8,2025-02-13,br
tt1025100,2022-08-18,,Géminis,Gemini Man,https://www.imdb.com/title/tt1025100/,Película,"Acción, Ciencia ficción, Suspense",7,2019-11-24,br
tt0947810,2022-08-18,,Green Zone: Distrito protegido,Green Zone,https://www.imdb.com/title/tt0947810/,Película,"Acción, Drama, Suspense, Bélico",7,2025-02-13,br
tt2713180,2022-08-18,,Corazones de acero,Fury,https://www.imdb.com/title/tt2713180/,Película,"Acción, Drama, Bélico",8,2015-01-18,br
tt12412888,2022-09-15,,Sonic 2: La película,Sonic the Hedgehog 2,https://www.imdb.com/title/tt12412888/,Película,"Acción, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción",8,2022-05-17,br
tt10838180,2022-11-27,,Matrix Resurrections,The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,Película,"Acción, Ciencia ficción",7,2021-12-28,br
tt7888964,2022-11-27,,Nadie,Nobody,https://www.imdb.com/title/tt7888964/,Película,"Acción, Crimen, Drama, Suspense",8,2022-12-03,br
tt6139732,2022-11-27,,Aladdín,Aladdin,https://www.imdb.com/title/tt6139732/,Película,"Aventura, Comedia, Familiar, Fantasía, Musical, Romance",7,2019-08-23,br
tt3554046,2022-11-27,,Space Jam: Nuevas leyendas,Space Jam: A New Legacy,https://www.imdb.com/title/tt3554046/,Película,"Animación, Aventura, Comedia, Familiar, Fantasía, Ciencia ficción, Deporte",7,2022-11-27,br
tt4425200,2022-11-27,,John Wick: Pacto de sangre,John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/,Película,"Acción, Crimen, Suspense",8,2020-02-10,br
tt6146586,2022-11-27,,John Wick: Capítulo 3 - Parabellum,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,Película,"Acción, Crimen, Drama, Suspense",8,2019-09-17,br
tt2381941,2022-12-27,,Focus,Focus,https://www.imdb.com/title/tt2381941/,Película,"Comedia, Crimen, Drama, Romance",7,2015-05-18,br
tt3032476,2023-01-12,,Better Call Saul,Better Call Saul,https://www.imdb.com/title/tt3032476/,Serie,"Crimen, Drama",9,2023-01-12,br
